brand_source,brand_external_id,source,external_id,name,lat,lng,address
burgerking-kr-adb,burgerking,official-web,00000230,버거킹 과천중앙점,37.4283068535,126.9910021382,경기도 과천시 중앙로 129
burgerking-kr-adb,burgerking,official-web,00000269,버거킹 광교아브뉴프랑점,37.2902340273,127.0498735718,경기도 수원시 영통구 센트럴타운로 85
burgerking-kr-adb,burgerking,official-web,00000361,버거킹 광명소하DT점,37.4345958382,126.8792034531,경기도 광명시 오리로 361
burgerking-kr-adb,burgerking,official-web,00000617,버거킹 광명역점,37.420105602410544,126.88366798122445,경기도 광명시 신기로 21
burgerking-kr-adb,burgerking,official-web,00000541,버거킹 광명철산점,37.4760713,126.8659802,경기도 광명시 오리로 870
burgerking-kr-adb,burgerking,official-web,00010071,버거킹 광양중동점,34.9361317067,127.6977158419,전라남도 광양시 중마중앙로 65
burgerking-kr-adb,burgerking,official-web,00010075,버거킹 광양LF스퀘어점,34.9626559238,127.5663146932,전라남도 광양시 광양읍 순광로 466 LF스퀘어
burgerking-kr-adb,burgerking,official-web,00010036,버거킹 광주경안점,37.4101879,127.2594585,경기도 광주시 경안로 10
burgerking-kr-adb,burgerking,official-web,00000581,버거킹 광주두암점,35.1786431,126.9289146,광주광역시 북구 동문대로 181
burgerking-kr-adb,burgerking,official-web,00010004,버거킹 광주봉선점,35.1228357,126.914829,광주광역시 남구 봉선로 180
burgerking-kr-adb,burgerking,official-web,00000594,버거킹 광주상무점,35.1567856,126.8477842,광주광역시 서구 치평로 106
burgerking-kr-adb,burgerking,official-web,00010033,버거킹 광주수완점,35.1904303708,126.82560541,광주광역시 광산구 장신로 142
burgerking-kr-adb,burgerking,official-web,00000378,버거킹 광주수완DT점,35.20353389378798,126.81922566415336,광주광역시 광산구 임방울대로 499
burgerking-kr-adb,burgerking,official-web,00010128,버거킹 광주신창점,35.1924801,126.8374111,광주광역시 광산구 신창로 82
burgerking-kr-adb,burgerking,official-web,00000510,버거킹 광주운암점,35.1785712,126.8760364,광주광역시 북구 북문대로 101
burgerking-kr-adb,burgerking,official-web,00010024,버거킹 광주월계점,35.2146169,126.8432897,광주광역시 광산구 첨단중앙로 104
burgerking-kr-adb,burgerking,official-web,00010061,버거킹 광주일곡점,35.2033538,126.8980676,광주광역시 북구 설죽로 495
burgerking-kr-adb,burgerking,official-web,00000344,버거킹 광주주월에스오일점,35.1317604219,126.8915665447,광주광역시 남구 회재로 1190
burgerking-kr-adb,burgerking,official-web,00010158,버거킹 광주진월점,35.12023487721112,126.89865131795553,광주광역시 남구 서문대로 683
burgerking-kr-adb,burgerking,official-web,00010046,버거킹 광주첨단2지구점,35.206545,126.8632654,광주광역시 북구 첨단연신로91번길 10
burgerking-kr-adb,burgerking,official-web,00000494,버거킹 광주충장점,35.1471592,126.9181626,광주광역시 동구 충장로 101-4
burgerking-kr-adb,burgerking,official-web,00010116,버거킹 광주하남점,35.1628953,126.8116598,광주광역시 광산구 풍영철길로 15
burgerking-kr-adb,burgerking,official-web,00000655,버거킹 광주화정점,35.15661904210975,126.88279224521708,광주광역시 서구 죽봉대로 37
burgerking-kr-adb,burgerking,official-web,00010118,버거킹 광주효천2지구점,35.101812,126.8883664,광주광역시 남구 효우2로 34
burgerking-kr-adb,burgerking,official-web,00000306,버거킹 교대역점,37.4936767428,127.0126966321,서울특별시 서초구 서초대로 283
burgerking-kr-adb,burgerking,official-web,00000648,버거킹 구로거리공원점,37.504436875764476,126.88724126690617,서울특별시 구로구 공원로 91
burgerking-kr-adb,burgerking,official-web,00000316,버거킹 구로구청점,37.4948404,126.8886891,서울특별시 구로구 가마산로 250
burgerking-kr-adb,burgerking,official-web,00000633,버거킹 구로전화국사거리점,37.48008539461283,126.9038072930663,서울특별시 관악구 남부순환로 1377
burgerking-kr-adb,burgerking,official-web,00000228,버거킹 구로점,37.4825399,126.9002463,서울특별시 구로구 시흥대로 551
burgerking-kr-adb,burgerking,official-web,00000466,버거킹 구리갈매점,37.6310929,127.1165641,경기도 구리시 산마루로 24
burgerking-kr-adb,burgerking,official-web,00000560,버거킹 구리인창점,37.6042407,127.139861,경기도 구리시 건원대로33번길 4
